ph,Turbidity,Temperature,Water Type
3.388090611,2.798600948,3.65,Impure
6.745306715,3.90235259,7.7,Impure
6.964566219,5.629015636,3.25,Impure
7.183825723,4.597165512,1.62,Impure
10.1119767,3.425763242,9.71,Impure
7.397413299,3.14915751,4.42,Impure
7.812804388,6.204846359,0.77,Impure
6.877456933,3.827650072,0.28,Impure
7.295811567,4.664350321,6.84,Impure
7.714166201,4.197595209,0.76,Impure
7.521051679,2.880785347,9.62,Impure
8.550875469,3.772886607,6.34,Impure
10.30847766,3.285077052,0.59,Impure
8.839781365,5.052736766,3.6,Impure
7.371085073,4.412589537,1.36,Impure
11.18069466,3.809841654,2.36,Impure
6.506487767,3.548775589,6.59,Impure
6.643935775,3.812952926,2.88,Impure
5.03377399,3.244948477,2.66,Impure
6.912607562,2.612248953,5.37,Impure
7.977635991,3.5521295,4.31,Impure
6.078335837,4.201580906,1.97,Impure
6.242414484,4.508705098,7.9,Impure
6.06335479,3.467336915,0.36,Impure
8.129585514,3.362537135,8.76,Impure
9.562405944,3.762719837,4.26,Impure
8.167792632,4.289395484,5.23,Impure
8.594416135,3.568991708,7.94,Impure
7.709942018,3.679795035,5.71,Impure
6.825467901,3.027449578,2.34,Impure
7.861177701,4.157656628,9.84,Impure
4.96577356,3.421766849,2.49,Impure
6.207432968,3.549298841,1.6,Impure
7.988341987,4.417559791,0.95,Impure
9.769251006,4.636556195,5.78,Impure
9.63066548,4.920091158,3.32,Impure
5.187471605,3.203257896,6.63,Impure
7.633570088,2.927066767,2.78,Impure
5.77119905,4.688959065,1.41,Impure
6.579969329,4.575931872,4.81,Impure
4.801154368,4.418638132,1.5,Impure
7.948815718,3.692250861,3.54,Impure
6.906992172,2.124759352,9.31,Impure
7.111777831,4.444350199,8.55,Impure
7.31656349,3.463172548,4.68,Impure
8.461330874,3.771944146,1.98,Impure
7.726134808,3.720636904,0.41,Impure
8.326606478,3.777737414,9.77,Impure
8.927078148,4.601860959,4.86,Impure
6.20801554,4.334615732,7.29,Impure
6.128425635,4.633823862,3.8,Impure
6.718237242,2.678910713,1.79,Impure
7.308048848,3.696119712,5.41,Impure
7.974467629,4.353238589,0.55,Impure
8.640886409,5.263101572,2.3,Impure
8.397048242,4.102529482,2.44,Impure
8.153210075,2.905788134,0.72,Impure
8.29372011,3.954715283,2.64,Impure
8.178034169,3.310858508,4.36,Impure
8.062348227,3.706601792,8.62,Impure
9.489972878,4.219967522,2.82,Impure
7.830976343,4.588784657,7.47,Impure
4.430281212,4.384565156,8.76,Impure
7.240739639,3.556297467,1.88,Impure
7.05402048,3.665521764,2.32,Impure
6.867301322,3.82359504,6.66,Impure
6.129637015,4.615886181,0.28,Impure
7.917049443,3.659484625,0.43,Impure
6.511618075,4.850433708,5.56,Impure
5.323815584,2.880721846,1,Impure
6.769572869,5.22054027,1.54,Impure
5.87797404,4.032259504,7.5,Impure
9.534021716,2.768238928,8.52,Impure
6.340027628,3.686001324,1.89,Impure
8.66159243,3.67043101,8.88,Impure
5.653506135,5.198985504,9.96,Impure
6.626012184,4.194313129,5.89,Impure
7.793833573,4.172935335,7.38,Impure
7.59312765,3.377337638,4.71,Impure
7.362736502,4.408513182,8.7,Impure
9.320305445,4.205809732,6.7,Impure
3.719791644,2.718397734,7.59,Impure
6.655605026,2.951644715,3.38,Impure
9.868877881,3.355489791,4.25,Impure
5.590614436,4.726845017,7.51,Impure
5.554436511,2.095914087,1.81,Impure
4.126528715,4.460200984,4.66,Impure
5.970035657,5.428674072,1.32,Impure
7.169595005,4.600927569,9.73,Impure
8.369154354,3.629749331,6.81,Impure
6.284248242,3.377132289,2.76,Impure
11.26782838,4.153347001,6.93,Impure
9.298018008,3.681324244,1.48,Impure
7.895469246,4.2369473,2.74,Impure
7.947485786,3.70085384,1.63,Impure
10.02615916,4.182277582,1.67,Impure
6.48819324,4.592073571,6.44,Impure
5.869736755,4.689315048,1.37,Impure
5.586939708,3.659974812,0.23,Impure
5.30414266,4.165723664,5.73,Impure
7.533614823,3.462763987,5.88,Impure
4.077607725,2.758658531,8.47,Impure
5.581888063,3.87385335,7.62,Impure
7.086168401,3.416539753,1.27,Impure
6.271012171,5.303581361,7.72,Impure
7.957768344,3.450745892,6.89,Impure
8.875642278,4.006991559,4.36,Impure
7.744675698,4.358298341,0.27,Impure
6.613709118,3.539771111,6.89,Impure
7.735705022,2.148611536,6.3,Impure
9.925041328,4.703803489,8.86,Impure
9.00258311,4.904837415,8.26,Impure
5.095766465,4.35219347,5.9,Impure
8.594677108,4.754072499,9.38,Impure
7.083779061,3.887680685,3.63,Impure
7.682872498,3.778606788,5.36,Impure
7.051322486,3.313199022,0.61,Impure
6.419772474,3.095233157,6.31,Impure
4.443238899,3.268324836,3.32,Impure
6.978664262,4.766943236,7.23,Impure
6.623613566,2.915165951,3.68,Impure
3.664710562,3.316157657,0.24,Impure
4.814135621,5.190851805,5.88,Impure
5.779673705,4.656377233,4.23,Impure
6.937818783,3.724089564,8.47,Impure
7.436782609,3.727663719,7.63,Impure
4.723312573,3.917586695,1.39,Impure
9.380658051,4.034349047,3.28,Impure
7.810144933,4.033773709,2.68,Impure
9.436637164,4.41111744,0.95,Impure
9.406325753,3.097277957,6.91,Impure
6.321259315,4.501457204,4.3,Impure
5.513307905,3.605154199,3.34,Impure
4.705356496,3.437450134,3.86,Impure
8.896418988,3.700945733,2.6,Impure
6.581878202,4.201662864,7.41,Impure
6.755145902,5.162729749,8.33,Impure
9.445129838,3.875165247,20.0932325,Pure
9.024845037,3.985250506,17.06679896,Pure
7.912482064,2.747312999,22.03585415,Pure
6.80011909,3.8549399,17.08262851,Pure
7.174135163,3.939895657,12.08015937,Pure
7.657991237,2.437296288,18.00368435,Pure
8.322986672,4.052135728,10.0475265,Pure
5.934279093,5.217895024,17.01643773,Pure
9.802720782,2.764633881,19.06920579,Pure
6.101955231,3.53559633,21.06756031,Pure
4.997770601,3.404632906,11.09184932,Pure
4.815766791,4.375223811,17.04569312,Pure
6.548020558,3.611860372,22.06015813,Pure
13.17540172,4.10692449,10.06449534,Pure
6.618010906,4.437695749,21.0813511,Pure
7.788054733,3.368757217,11.09531361,Pure
5.191834327,3.859800939,16.06902691,Pure
5.626339528,1.943318777,13.03186578,Pure
6.869638941,4.726702454,22.03727674,Pure
9.058628424,3.65213447,15.01251674,Pure
7.291888325,5.328712788,16.04536376,Pure
7.275908774,5.062297798,10.08604048,Pure
6.512737124,4.612963629,10.07467106,Pure
7.207886781,3.762741072,19.09310555,Pure
6.266414318,3.772919265,18.06208704,Pure
5.324941856,4.427137926,17.0131614,Pure
7.082300649,3.485577388,10.01411336,Pure
5.33418358,5.091357101,21.01140365,Pure
10.7618978,4.661798516,18.09940143,Pure
6.286806948,4.104863275,14.07190368,Pure
9.794558699,2.945418738,14.07165801,Pure
8.210443565,4.97605516,21.06921371,Pure
6.941719438,4.563183171,12.05886485,Pure
10.35611883,4.201849441,21.07516066,Pure
7.958984292,4.698007916,12.09542498,Pure
3.882631081,3.734001387,16.02935752,Pure
5.671773833,3.833159746,10.07725337,Pure
10.00330054,4.746381859,19.09857082,Pure
6.552847474,4.687986155,17.05002646,Pure
7.628552723,4.182057148,11.04269693,Pure
4.79084054,3.258858945,21.03031861,Pure
7.710959939,4.28894682,19.09199683,Pure
8.291299006,3.424701921,12.09053565,Pure
6.193170101,3.466645288,11.08286746,Pure
9.032660579,4.927218272,14.00739884,Pure
6.139493741,3.260906853,13.01406573,Pure
7.12942473,3.418610803,12.03641352,Pure
6.273964247,4.109590274,22.00094629,Pure
5.418503763,4.506539591,17.05865263,Pure
8.075494508,3.682919645,12.03254063,Pure
9.062584113,4.081701398,19.05319849,Pure
10.04967372,5.133477823,16.05063772,Pure
5.667650647,3.633213756,22.08076491,Pure
7.295815627,3.807920062,21.07605601,Pure
8.923980608,4.15558319,10.07116363,Pure
6.428866313,4.184783372,13.0528939,Pure
6.960603502,4.978820188,10.0549688,Pure
5.873675846,5.412090885,14.09115428,Pure
6.79546901,5.163088154,11.03521621,Pure
10.04102797,3.807562606,12.06114271,Pure
8.668532854,4.124780678,18.02210582,Pure
7.296037734,4.168526118,13.08091268,Pure
6.579339483,3.497577391,17.00972216,Pure
5.862641233,5.50742094,15.00755213,Pure
7.292141805,4.466912564,11.0727809,Pure
8.062805643,4.471842,13.03894721,Pure
7.82197094,3.532958335,22.04084043,Pure
11.301794,3.309580397,22.0778805,Pure
6.593764313,2.346578095,12.04273427,Pure
9.161088613,4.888061137,19.07671492,Pure
6.902020833,5.922581692,20.03248079,Pure
4.642953052,3.982867293,16.06109181,Pure
7.798453676,4.107267203,13.03642866,Pure
5.564342491,2.285987849,10.0607519,Pure
7.886591227,4.589983508,12.0500211,Pure
7.443189014,2.664832796,22.04227024,Pure
3.657123133,3.31462973,14.09819551,Pure
9.597191857,5.145152871,10.01405605,Pure
6.964225943,3.990437572,14.09093779,Pure
7.672909523,4.268227482,15.06195996,Pure
6.737004072,4.063170289,22.04999164,Pure
6.059746556,4.135745329,20.09713879,Pure
5.382489039,4.173330283,13.06104451,Pure
7.022952113,4.971907099,12.08264353,Pure
8.524587961,2.969136099,19.08516359,Pure
10.02622381,3.736228471,10.08864717,Pure
5.583832998,3.870156921,12.03200946,Pure
7.952929116,5.260014766,17.01028446,Pure
5.500186641,4.178478951,22.04335461,Pure
7.543700466,3.630536578,15.03405827,Pure
6.848331559,4.396604556,16.00040103,Pure
6.379291644,3.779554492,21.03693553,Pure
5.910251729,3.660922908,16.09840173,Pure
8.716820334,3.205128767,12.05783471,Pure
6.016889136,4.422269233,15.05323521,Pure
9.567822726,4.197919055,11.0509467,Pure
4.296247024,4.163328982,16.06310873,Pure
3.551579177,3.96599397,10.05713117,Pure
8.529669348,3.776040837,22.05710856,Pure
8.065339036,3.756391707,19.07247066,Pure
9.158445163,4.525236731,15.06020539,Pure
8.848586283,4.014681858,11.06441151,Pure
9.495456382,4.168541279,14.01665417,Pure
8.052893916,3.634844542,20.07945251,Pure
2.798549099,3.663252222,13.05545365,Pure
6.425873866,3.731936503,18.01426173,Pure
7.757269666,4.165432286,10.0839742,Pure
7.748654706,2.511810493,10.01306933,Pure
5.117390303,3.937188442,17.06395223,Pure
7.481535362,4.262065437,19.04021211,Pure
5.374222585,3.642778438,21.06316975,Pure
7.063646976,3.39586624,22.00323704,Pure
6.876451043,4.545340927,12.04724718,Pure
4.812433652,3.0209959,13.00683545,Pure
4.993530734,3.153809337,22.09878995,Pure
4.788861062,2.896852186,17.02780215,Pure
4.037287739,3.04504857,13.07657424,Pure
6.505872509,4.497528597,19.04389219,Pure
6.779773967,2.729104523,19.03555386,Pure
6.952511674,4.105495485,10.07029153,Pure
5.628406919,5.050683115,11.09977947,Pure
5.966000489,4.177139266,10.06429246,Pure
6.319431545,2.653126688,18.01900568,Pure
8.02724787,3.480640837,17.06232094,Pure
8.882684452,3.827920867,20.02156326,Pure
5.991283475,4.840562301,17.00798658,Pure
10.27244427,3.179884727,20.09671697,Pure
8.188792204,4.728123985,12.0967229,Pure
6.105140135,3.103089844,12.08238356,Pure
9.443358884,3.486646409,15.01404935,Pure
6.887414371,4.564188355,21.071581,Pure
6.512900833,4.404040365,17.06513546,Pure
5.772718095,6.494249467,14.08667551,Pure
4.912557262,4.897372508,19.01438002,Pure
9.739561949,2.568079877,12.02027582,Pure
5.541979019,3.672975983,20.09169816,Pure
5.525962338,3.601735481,15.09125956,Pure
5.509945657,3.451740047,20.02511459,Pure
6.448931033,3.622195522,16.06041731,Pure
5.477912295,3.774256121,20.02486436,Pure
8.544708662,2.31815248,18.02380954,Pure
7.378597016,3.215219463,13.04953187,Pure
6.66400305,2.227727884,22.06957689,Pure
6.775582812,4.333636278,16.00190732,Pure
8.736371211,3.802116117,16.02699313,Pure
7.146976296,4.025762216,13.07951029,Pure
6.093653994,5.652222113,18.0148456,Pure
5.040331692,3.603325615,20.00535953,Pure
6.39291541,4.003819012,19.01954563,Pure
7.745499128,4.043334781,12.02583003,Pure
6.259651603,4.213405262,13.08781638,Pure
8.59639118,3.519884366,13.03883723,Pure
5.767349597,3.896090487,16.04260659,Pure
7.088940642,5.661104287,15.02808063,Pure
8.029181613,4.388551012,20.05731897,Pure
6.377483589,4.120931424,21.00104882,Pure
4.725785565,3.15633142,16.06422957,Pure
8.19576536,3.218709224,22.01020391,Pure
6.443753668,4.498684931,13.06549129,Pure
7.039094321,4.366031351,11.09301315,Pure
6.714848343,4.407566169,97.7300384,Impure
6.390602364,5.110414149,39.75909735,Impure
6.945224092,4.823082014,81.71357574,Impure
5.742110407,3.323069564,77.01802521,Impure
5.59662785,5.235111121,61.27372347,Impure
7.350378987,3.663922184,58.36917551,Impure
6.262798867,4.012517558,24.17440702,Impure
9.927023723,4.051733473,49.7805843,Impure
5.381407519,4.364066935,60.54963024,Impure
4.961352728,3.902837834,32.98786379,Impure
6.457097525,2.637364885,63.32329163,Impure
6.53936951,4.527364378,51.21843863,Impure
6.252410005,2.722908161,60.25735551,Impure
7.967344823,4.069358772,40.14362708,Impure
7.788433007,4.825792283,38.70161856,Impure
7.60952119,3.145842903,29.3733345,Impure
6.887863944,5.454487652,37.27118707,Impure
9.879071258,4.218831154,64.44164214,Impure
7.63876177,4.496626599,51.55038534,Impure
6.961891686,3.44672846,45.30089642,Impure
8.060609624,3.60090567,36.78396631,Impure
7.240271791,3.832597167,80.0651266,Impure
7.486779709,5.048833995,61.57486877,Impure
8.410460643,2.977359946,87.52208931,Impure
6.143921454,3.476213304,36.21774658,Impure
6.09617989,5.142471132,26.69552723,Impure
6.384824009,4.144998518,91.88619786,Impure
9.462666017,2.850183766,88.90188066,Impure
7.868147086,4.315898406,48.51893447,Impure
5.873157137,5.120887965,63.56058649,Impure
6.201230793,5.14411422,91.11136247,Impure
6.529304448,3.361088407,42.09783588,Impure
5.152203722,4.689842818,83.75178228,Impure
7.858662779,3.422470521,28.29244689,Impure
7.704410252,3.031364369,57.34363137,Impure
6.728004386,4.410697353,76.4009129,Impure
10.46450248,4.956358408,37.67061346,Impure
9.11278625,4.567087634,89.68731541,Impure
8.079808358,3.611057441,29.21068789,Impure
7.078659419,3.696640141,92.808339,Impure
7.561274359,4.093097749,84.90516965,Impure
8.043889299,3.15994937,48.15327138,Impure
7.040244978,3.993409764,69.23828672,Impure
5.483974109,4.063613621,90.98370166,Impure
8.53440688,2.544733701,83.09985429,Impure
7.266594535,3.357439471,53.20001517,Impure
6.256651148,4.181050753,41.94798062,Impure
7.240351006,3.7829719,31.99025736,Impure
8.692115322,2.283475159,61.71817557,Impure
8.639540978,4.192932215,27.47697847,Impure
7.179864149,3.878447314,37.08854191,Impure
7.163999223,3.354322267,67.63991307,Impure
8.926113143,2.752134121,26.69847295,Impure
6.353110302,2.856175487,33.94078271,Impure
6.681553568,2.956748075,27.64459087,Impure
5.445325981,3.946989523,89.55751941,Impure
7.539881893,4.53159367,73.77443839,Impure
5.955179237,4.482459764,35.48385482,Impure
4.37047658,4.649382034,46.35950119,Impure
10.31640038,3.407349428,58.48180521,Impure
6.599593819,4.702310753,90.43278284,Impure
4.197583589,5.206480177,58.56946028,Impure
7.920794564,3.374326523,52.45441615,Impure
6.330732765,3.940000423,40.9066082,Impure
7.047437688,5.128346524,64.1745269,Impure
7.76414261,4.105178268,58.5655803,Impure
8.237142634,4.939109441,41.80688317,Impure
5.679234115,2.339572736,81.18102115,Impure
7.417570368,4.671557881,73.10558646,Impure
4.775983439,4.382161619,35.47732684,Impure
7.86509497,4.795025555,61.32887153,Impure
5.903465715,4.587086719,67.1602518,Impure
7.705711006,3.861956077,56.35755803,Impure
7.815121778,3.096163272,27.82357615,Impure
6.139743032,3.841221574,78.51508985,Impure
5.041405028,4.543685761,26.73476912,Impure
8.675192692,4.97857536,85.72000108,Impure
7.689358004,4.978556095,32.95014984,Impure
8.570129121,4.604404561,71.38808096,Impure
5.671762326,3.268693507,50.31419916,Impure
6.624806428,2.840910756,87.75240002,Impure
6.541007699,2.355934229,80.57340795,Impure
7.891102631,6.739,24.05918951,Impure
9.241197563,5.265728858,67.75135022,Impure
7.791003293,4.514981624,24.721794,Impure
6.340809022,5.45860969,72.55032036,Impure
5.980357227,4.247240149,81.92847629,Impure
7.60597883,3.242849929,67.55836919,Impure
6.427512443,6.032994877,48.93639475,Impure
6.268292877,3.888235227,48.79409139,Impure
6.109073312,4.881101138,79.44630774,Impure
5.842933081,4.143224936,48.68590486,Impure
5.36754649,4.267189591,71.26228255,Impure
5.345887147,2.950360943,88.39084966,Impure
5.386307352,3.662563465,41.87136901,Impure
9.919478426,4.11748804,38.41246332,Impure
8.52046843,4.328026357,47.15551665,Impure
7.121458435,3.774600526,66.06184973,Impure
9.418296122,4.604633154,93.05833282,Impure
7.457164758,4.106543052,73.31156703,Impure
5.27222756,5.068556189,41.03229186,Impure
7.29195704,4.237643894,85.49485865,Impure
7.803833221,2.907387267,46.94412656,Impure
6.844350911,2.877062813,64.67607376,Impure
5.608745232,4.644211645,84.67700084,Impure
5.701154645,3.403136416,85.23337203,Impure
5.412762498,4.091205593,35.20802027,Impure
5.215447441,3.912148351,59.51504614,Impure
5.018132384,4.286478967,26.20807805,Impure
4.552238411,3.932804334,49.11003755,Impure
5.788772176,4.613578722,82.7225904,Impure
7.025305942,5.989542791,98.96330282,Impure
5.770620969,4.240821478,54.61249384,Impure
8.437875983,3.815468994,83.40991213,Impure
5.907078269,4.296479909,24.70002118,Impure
6.89834133,5.371284156,43.77917159,Impure
10.25273437,3.290372492,36.58834082,Impure
8.206499938,4.22512093,50.31163206,Impure
7.286167388,4.686019916,85.59749856,Impure
8.809296432,3.87905374,82.29553901,Impure
6.641500687,4.694311216,54.64159193,Impure
6.145148361,4.600885755,25.59471257,Impure
5.906441765,4.807495942,84.71487219,Impure
5.38984593,3.577674921,36.50889023,Impure
5.006562979,3.665205612,97.45972684,Impure
6.5036382,4.963184434,38.77040959,Impure
9.606858896,4.405351952,49.73364977,Impure
8.742229882,2.842393186,79.02783748,Impure
8.394397412,2.83390143,51.04707692,Impure
6.117801225,3.257744181,27.78967546,Impure
3.841205038,3.635634543,34.45978255,Impure
4.301373467,3.067626699,54.11075128,Impure
9.895889213,3.813428659,73.40465949,Impure
4.319440673,3.241972101,62.27488641,Impure
8.313773604,4.290071516,35.68726071,Impure
5.862066638,2.380084227,84.67574119,Impure
3.410359671,3.721765769,56.2135606,Impure
7.510943342,3.342409054,26.79741922,Impure
6.978290868,4.931878079,25.39617705,Impure
7.219509044,4.380978304,91.41203995,Impure
7.46072722,3.949014618,62.87666507,Impure
7.340446387,4.54358117,74.13808043,Impure
7.220165553,4.398685036,61.244246,Impure
8.790851189,3.480271755,62.04968439,Impure
8.971923546,4.148611317,96.90441724,Impure
9.152995902,5.77661102,46.11569793,Impure
9.049166054,2.814000683,75.46102541,Impure
9.515140615,3.812887661,57.27722662,Impure
6.14524294,4.09093992,54.56686496,Impure
7.494212047,5.492704955,88.4186194,Impure
7.091885817,5.116406585,89.40430965,Impure
6.624572528,4.333720849,100.5451631,Impure
6.032188903,3.423831621,24.16263442,Impure
6.344095425,3.843484016,38.69213487,Impure
6.901620142,4.10343896,89.52912674,Impure
7.459144859,3.841052038,69.05875171,Impure
6.361666803,3.681765114,32.84620637,Impure
9.011588754,2.897292531,70.98495264,Impure
7.466213132,2.081845657,68.29764696,Impure
5.739816333,2.722571208,52.77012433,Impure
7.785106673,4.904613044,53.66891612,Impure
7.138586781,3.272429761,44.46243283,Impure
8.805177745,5.176205069,61.02805289,Impure
8.003031485,3.137551206,58.58303974,Impure
7.157337864,5.183622115,68.90925758,Impure
6.427365144,3.568823153,92.18627792,Impure
6.124672271,3.631006709,39.06471486,Impure
8.457901037,4.914276095,64.40754458,Impure
5.772197394,3.078985839,94.06769327,Impure
6.266493958,4.589161805,75.47795002,Impure
6.760790523,4.905490433,71.31217165,Impure
7.895045662,3.084431233,62.94694998,Impure
8.576739928,3.916114733,92.72292288,Impure
5.596729818,3.826158191,58.45173305,Impure
8.145632374,4.307547519,46.43517431,Impure
6.665495068,3.928495392,68.43533793,Impure
6.499067998,4.355880125,99.61409871,Impure
9.735889388,5.573210319,56.56328725,Impure
9.268281895,5.255703382,79.72483053,Impure
9.663961997,3.9991255,78.07309065,Impure
10.0596421,3.81878876,60.0699627,Impure
6.475885399,4.306112971,55.69198934,Impure
6.096128348,2.956447478,63.46170375,Impure
6.297845634,1.680554025,79.29477518,Impure
5.284096687,4.800963142,75.36862316,Impure
8.26994471,3.076479932,94.27912784,Impure
6.03956779,4.206835504,43.55485348,Impure
6.243279004,3.472839213,36.66750028,Impure
8.214099764,3.38186391,73.88077582,Impure
8.61958246,3.916745527,69.08456628,Impure
9.025065156,4.284878629,82.99010244,Impure
9.430547851,3.569570266,90.00537242,Impure
9.836030547,4.219118008,71.10699825,Impure
8.719764332,2.887725422,33.43446954,Impure
7.009601694,3.121944851,82.88507011,Impure
6.492638846,4.667770161,29.37999436,Impure
7.814524321,2.901699556,39.06564696,Impure
9.652562935,3.192569799,73.96151992,Impure
8.00754122,5.25017306,33.69183933,Impure
7.380050995,3.716659341,89.90837237,Impure
6.752560771,3.845127166,29.44204802,Impure
7.386837696,4.816705216,78.01509482,Impure
5.497580321,5.060114929,55.59774671,Impure
6.057828114,3.292249267,26.07245724,Impure
6.163390725,4.235174415,96.47372197,Impure
6.268953337,4.674495973,52.5072523,Impure
6.27696908,4.969149725,54.04772822,Impure
6.284984822,5.703287743,43.72730384,Impure
9.043095632,4.008499341,52.54414573,Impure
8.523062079,5.112376365,32.86169965,Impure
7.99547332,4.183319911,60.07134598,Impure
7.46788456,2.913048443,68.97319221,Impure
4.02905271,4.179656267,48.52932339,Impure
6.412707042,5.014144884,45.55779239,Impure
6.27629499,4.342759277,92.2655001,Impure
7.648877928,4.953533863,47.73212501,Impure
5.548181849,3.945460484,94.69036357,Impure
6.508399434,2.604959925,67.95291143,Impure
7.468617019,3.384178841,67.63456662,Impure
7.693383745,3.764703594,27.7188559,Impure
7.918150471,4.028958007,93.70917509,Impure
8.023490756,4.266775395,76.18440295,Impure
8.12883104,4.161749271,32.93806352,Impure
5.433242117,3.675717673,56.72730704,Impure
8.33951161,4.827704247,60.41570618,Impure
6.715719088,2.443008006,24.83203691,Impure
6.09801209,4.590616741,49.05279802,Impure
6.576845323,3.771313518,49.49304896,Impure
4.68109876,4.125750333,26.38054402,Impure
8.15121531,3.523980506,55.27202337,Impure
7.769647383,2.364558912,88.1672651,Impure
7.388079455,5.666547311,57.26117398,Impure
5.669689566,3.592133424,75.08454241,Impure
6.6249436,3.546696372,39.32736076,Impure
8.273643584,3.331583735,39.83530927,Impure
7.498091212,4.306218231,26.61978497,Impure
6.722538839,3.282061393,58.29213097,Impure
10.50966863,3.505078834,71.95771611,Impure
5.171434094,2.949431503,23.34388001,Impure
6.9641983,2.395683182,35.86586653,Impure
6.548796521,4.197305125,35.32664948,Impure
6.555439264,3.79204017,59.21485119,Impure
9.042582866,4.34844014,23.01533743,Impure
5.970578908,5.013281168,62.90006009,Impure
6.273805782,4.510405324,92.1194276,Impure
6.604007989,4.458966913,45.78851496,Impure
7.14394199,3.792840307,71.24852544,Impure
8.11644657,2.934697437,85.5865182,Impure
